title,year,journal,impact_factor,molecule_name,molecule_cid,molecule_smiles,molecule_type,functional_groups,role,interface_location,pce_max,voc,jsc,ff,perovskite_type,stability
The tricyclic alkaloid catalyzed crystallization of α-FAPbI3 for high performance antisolvent-free perovskite solar cells,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,colchicine (Ch),,,tricyclic alkaloid,,additive,grain boundaries,25.06,,,,alpha-phase formamidinium lead triiodide (alpha-FAPbI(3)),PCE retention: 83.6 % (unencapsulated device for more than 1500 h at 85 degrees C); PCE retention: 87.6 % (after 450 h of maximum power point tracking)
Uncovering gamma-stable organic semiconductors: large-scale screening and predictive modelling for radiation-hard applications,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,"4,4-difluoro-4-bora-3a,4a-diaza-s-indacene (BODIPY)",,,derivative,,,,,,,,,ionizing dose tolerance: 10 kGy (on average; inert conditions; total ionizing dose (TID) tests based on gamma radiation from a cobalt-60 (Co-60) source); calculated lifetime: None years (in the Van Allen belt at similar to 1000 km altitude in low Earth orbit (LEO))
Water-induced spinodal decomposition of mixed halide perovskite captured by real-time liquid TEM imaging,,ENERGY & ENVIRONMENTAL SCIENCE,29.1,CsPb2Br5,,,,,resulting from the spinodal decomposition / end member,within a single grain upon contact with water molecules,,,,,Cs0.05(MA0.17FA0.83)0.95Pb(Br0.17I0.83)3 (CsMAFA),
A Dopant-Free Polymeric Hole-Transporting Material Enabled High Fill Factor Over 81% for Highly Efficient Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,spiro-OMeTAD,16161850,,doped small molecule,,hole-transporting material (HTM),,19.06,,,81.22,,long-term stability: None None (None)
A Dopant-Free Polymeric Hole-Transporting Material Enabled High Fill Factor Over 81% for Highly Efficient Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,PBT1-C,,,donor-acceptor polymer,,dopant-free HTM,surface and grain boundary,19.06,,,81.22,,long-term stability: None None (None)
A Facile Surface Passivation Enables Thermally Stable and Efficient Planar Perovskite Solar Cells Using a Novel IDTT-Based Small Molecule Additive,,ADVANCED ENERGY MATERIALS,26.9,IDTT-ThCz,,,"indacenodithieno[3,2-b]thiophene-based small molecule (SM) additive",,SM additive capable of interacting with perovskite layers; surface passivation,perovskite layer,22.5,,,,,PCE retention: 95 % (after 500 h storage under thermal condition (85 degrees C))
"A Multifunctional Molecular Bridging Layer for High Efficiency, Hysteresis-Free, and Stable Perovskite Solar Cells",,ADVANCED ENERGY MATERIALS,26.9,"2,2 ',7,7 '-tetrakis(N,N-di-p-methoxyphenyl-amine)-9,9 '-spirobifluorene (Spiro-OMeTAD)",,,hole transport material (HTL),,hole transport material (HTL); contains Li+ ions that generally cause Li+ migration,within the Spiro-OMeTAD HTL layer,24.26,,,,perovskite solar cells (PSCs),PCE retention: 80 % (after 1000 h under both aging conditions)
"A Multifunctional Molecular Bridging Layer for High Efficiency, Hysteresis-Free, and Stable Perovskite Solar Cells",,ADVANCED ENERGY MATERIALS,26.9,"3,5-bis(fluorosulfonyl)benzoic acid (FBA)",285310,,molecule bridging layer,fluorosulfonyl; benzoic acid,"provides appropriate surface energy, reduces interfacial traps, forms a better energy level alignment, and anchors (immobilizes) Li+ ions in the ETL; acts as a passivation layer",onto the SnO2 surface,24.26,,,,perovskite solar cells (PSCs),PCE retention: 80 % (after 1000 h under both aging conditions)
Achieving Seasonal Reproducibility in Wide-Bandgap Sn-Based Perovskite Solar Cells via Proton-Locking Interface Engineering,,ADVANCED ENERGY MATERIALS,26.9,S-benzyl-L-cysteine (SBLC),193613,,,hydrophobic benzyl backbone; amine groups; significant dipole moment,incorporated into PEDOT:PSS as part of a hydrophobic proton-locking interface engineering strategy,into PEDOT:PSS,11.5,,,,WBG Sn-perovskite,performance retention: 80 % (across 279 devices fabricated monthly over 11 months); stability under stress conditions: None None (None)
Achieving Seasonal Reproducibility in Wide-Bandgap Sn-Based Perovskite Solar Cells via Proton-Locking Interface Engineering,,ADVANCED ENERGY MATERIALS,26.9,PEDOT:PSS,,,,,,,11.5,,,,WBG Sn-perovskite,performance retention: 80 % (across 279 devices fabricated monthly over 11 months); stability under stress conditions: None None (None)
Adamantanes Enhance the Photovoltaic Performance and Operational Stability of Perovskite Solar Cells by Effective Mitigation of Interfacial Defect States,,ADVANCED ENERGY MATERIALS,26.9,adamantane (AD),9238,,molecular modulators,,to abate electronic defects present within the bulk and at the perovskite-hole conductor interface,interface between the perovskite film and the hole conductor,,,,,,operational stability: None None (None)
Adamantanes Enhance the Photovoltaic Performance and Operational Stability of Perovskite Solar Cells by Effective Mitigation of Interfacial Defect States,,ADVANCED ENERGY MATERIALS,26.9,1-adamantylamine (ADA),2130,,molecular modulators,,to abate electronic defects present within the bulk and at the perovskite-hole conductor interface,interface between the perovskite film and the hole conductor,,,,,,operational stability: None None (None)
Benzylamine-Treated Wide-Bandgap Perovskite with High Thermal-Photostability and Photovoltaic Performance,,ADVANCED ENERGY MATERIALS,26.9,benzylamine (BA),7504,,,,postdeposition film treatment; passivating agent,film surface and grain boundaries,18.1,1.24,,,Mixed iodide-bromide organolead perovskites,phase segregation and decomposition induced by combined heat and light: None None (combined light and heat); prevention of progression of decomposition or phase segregation via BA treatment: None None (postdeposition film treatment with benzylamine (BA)); stabilized power output efficiency: 17.1 % (None)
Chiral Molecular Engineering for Synergistic Defect Passivation and Phase Stabilization Enables 22.19%-Efficient Inorganic Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,R-/S-N-(9-fluorenylmethoxycarbonyl)-allylglycine (RAC-NFA),,,chiral,Fmoc; allylglycine,to simultaneously suppress defect-mediated non-radiative recombination and phase instability in CsPbI3-xBrx solar cells; further optimizes band alignment to enhance hole extraction and transport,between the perovskite and hole transport layer,22.19,,,,CsPbI3-xBrx,efficiency retention: None % (after 800 h in ambient air)
Colloidal Stabilizer-Mediated Crystal Growth Regulation and Defect Healing for High-Quality Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,ethylenediaminetetraacetic acid (EDTA),,,,,colloidal stabilizer,lead iodide (PbI2) colloidal solutions,25.19,,,,FA0.97Cs0.03PbI3,PCE retention: 90 % (after 1000 h at the maximum power point (MPP) under continuous illumination)
Colloidal Stabilizer-Mediated Crystal Growth Regulation and Defect Healing for High-Quality Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,formamidinium iodide (FAI),89906651,,,,,,25.19,,,,FA0.97Cs0.03PbI3,PCE retention: 90 % (after 1000 h at the maximum power point (MPP) under continuous illumination)
Columnar Macrocyclic Molecule Tailored Grain Cage to Stabilize Inorganic Perovskite Solar Cells with Suppressed Halide Segregation,,ADVANCED ENERGY MATERIALS,26.9,cucurbituril,196163,,columnar macrocyclic molecule additive,strong double-ended negatively-charged cavity; terminated oxygen atoms,additive; host for supramolecular passivation; coordinates with dangling Pb2+; induces electric dipole field to repel iodide migration; enhances crystallization and reduces defect density,perovskite grain boundary,15.59,,,,all-inorganic mixed-halide perovskites,tolerance to environmental stresses: None None (None)
Comprehensive Passivation on Different Charged Ions and Defects for High Efficiency and Stable Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,neostigmine methyl sulfate (NMS),5824,,multifunctional organic salt,C & boxH;O; S & boxH;O,"finely regulate the crystallization of perovskite film, thereby minimizing defects and passivating surface defects",surface defects,24.95,,,,metal-halide perovskite,environmental stability retention after 50 d: 89.39 % (After 50 d)
Constructing Stable Perovskite with Small Molecule Bridge Interface Passivation,,ADVANCED ENERGY MATERIALS,26.9,9-Fluorenylmethoxycarbonyl chloride (9-YT),34367,,small molecule,conjugated backbone; carbonyl groups; Cl atoms,molecule bridge,perovskite/hole transport layer interface,24.82,,,,p-i-n type PSCs,PCE retention: 92.6 % (long-term stability test of 1200 h)
Constructing Stable Perovskite with Small Molecule Bridge Interface Passivation,,ADVANCED ENERGY MATERIALS,26.9,MeO-2PACz,154704514,,self-assembly molecule (SAM),,SAM molecule,between self-assembly molecules (SAMs) and perovskite,24.82,,,,p-i-n type PSCs,PCE retention: 92.6 % (long-term stability test of 1200 h)
Defects Mitigation and Charge Transport Promotion via a Multifunctional Lewis Base for Efficient 2D/3D Tin Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,cyanoacetohydrazide (CAH),8820,,small-molecule Lewis base,carbonyl; amine; cyano,employed to mitigate defects and enhance charge transport in 2D/3D tin PSCs,Sn2+ ions; tin perovskite film,15.06,,,,2D/3D tin PSCs,performance retention: 95 % (2000 h of storage in a nitrogen atmosphere)
Donor-Acceptor Type Polymer Bearing Carbazole Side Chain for Efficient Dopant-Free Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,PBDB-Cz,,,"benzo[1,2-b:4,5-b ']dithiophene (BDT)-benzodithiophene-4,8-dione (BDD) copolymer",,hole-transporting material (HTM),,22.06,,,,n-i-p perovskite solar cells (PVSCs),PCE retention after storage: 90 % (stored at ambient conditions for 100 days)
Donor-Acceptor Type Polymer Bearing Carbazole Side Chain for Efficient Dopant-Free Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,PBDB-O,,,,,,,22.06,,,,n-i-p perovskite solar cells (PVSCs),PCE retention after storage: 90 % (stored at ambient conditions for 100 days)
Donor-Acceptor Type Polymer Bearing Carbazole Side Chain for Efficient Dopant-Free Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,PBDB-T,164608287,,,,,,22.06,,,,n-i-p perovskite solar cells (PVSCs),PCE retention after storage: 90 % (stored at ambient conditions for 100 days)
Donor-Acceptor Type Polymer Bearing Carbazole Side Chain for Efficient Dopant-Free Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,carbazole,6854,,conjugated side chain of BDT,,side chain,,22.06,,,,n-i-p perovskite solar cells (PVSCs),PCE retention after storage: 90 % (stored at ambient conditions for 100 days)
Dopant-Free Two-Dimensional Hole Transport Small Molecules Enable Efficient Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,Spiro-OMeTAD,16161850,,HTM,,HTM,,21.44,,,,n-i-p structured perovskite solar cells (PSCs),long-term stability: None None (None)
Dopant-Free Two-Dimensional Hole Transport Small Molecules Enable Efficient Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,"benzo [1,2-b:4,5-b ']dithiophene (BDT) unit",,,unit,,unit to which TPA groups are incorporated,,21.44,,,,n-i-p structured perovskite solar cells (PSCs),long-term stability: None None (None)
Dopant-free Starlike Molecular Hole Conductor with Ordered Packing for Durable all-Inorganic Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,"N2, N2-bis(4-(bis(4-methoxyphenyl)amino)phenyl)-N5,N5-bis(4-methoxyphenyl)pyridine-2,5-diamine (BD)",,,dopant-free HTM,"methoxyphenyl; amino; pyridine-2,5-diamine",hole transport material (HTM),,19.19,,,,CsPbI3,efficiency retention: 93 % (85 degrees C storage for 35 days); efficiency retention: 80 % (maximum power point (MPP) tracking at 85 degrees C for 1000 h)
Dopant-free Starlike Molecular Hole Conductor with Ordered Packing for Durable all-Inorganic Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,Spiro-OMeTAD,16161850,,doped HTM,,hole transport material (HTM),,19.19,,,,CsPbI3,efficiency retention: 93 % (85 degrees C storage for 35 days); efficiency retention: 80 % (maximum power point (MPP) tracking at 85 degrees C for 1000 h)
Doped Copper Phthalocyanine via an Aqueous Solution Process for Normal and Inverted Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,tetrafluorotetracyanoquinodimethane (F-4-TCNQ),2733307,,,tetrafluoro; tetracyano,dopant,,20.16,,,,planar structure PSCs,stability for avoiding electrode erosion: None None (aqueous solution processed TS-CuPc:F-4-TCNQ precursor is almost neutral)
Doped Copper Phthalocyanine via an Aqueous Solution Process for Normal and Inverted Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,"copper phthalocyanine-3,4,4,4-tetra-sulfonated acid tetra sodium salt (TS-CuPc)",,,hole-transporting material,"3,4,4,4-tetra-sulfonated acid tetra sodium salt",hole-transporting material,,20.16,,,,planar structure PSCs,stability for avoiding electrode erosion: None None (aqueous solution processed TS-CuPc:F-4-TCNQ precursor is almost neutral)
Doped Copper Phthalocyanine via an Aqueous Solution Process for Normal and Inverted Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,TS-CuPc:F-4-TCNQ,,,hole-transporting material,,hole-transporting material (composite),,20.16,,,,planar structure PSCs,stability for avoiding electrode erosion: None None (aqueous solution processed TS-CuPc:F-4-TCNQ precursor is almost neutral)
Efficient Passivation with Lead Pyridine-2-Carboxylic for High-Performance and Stable Perovskite Solar Cells,,ADVANCED ENERGY MATERIALS,26.9,pyridine-2-carboxylic lead salt (PbPyA(2)),,,lead salt,pyridine; carboxyl,control crystallization; passivate grain boundaries (GBs); act as barrier to ion migration and component volatilization; hydrophobic additive,grain boundaries (GBs),19.96,,,,,thermal stability: 3 fold (90 degrees C); moisture stability: 3 fold (RH 40-60%); efficiency retention: 80 % (aging for 480 h); operational stability: 93 % (maximum power point (MPP) tracking for 540 h)
